feature,feature value,n_samples,precision,recall,fbeta
workclass,State-gov,271,0.6794871794871795,0.6883116883116883,0.6838709677419355
workclass,Private,4541,0.7267230955259976,0.6293193717277487,0.6745230078563412
workclass,Self-emp-not-inc,494,0.7663551401869159,0.543046357615894,0.6356589147286822
workclass,Self-emp-inc,232,0.8428571428571429,0.8368794326241135,0.8398576512455516
workclass,?,369,0.7647058823529411,0.5306122448979592,0.6265060240963856
workclass,Local-gov,427,0.7477477477477478,0.6287878787878788,0.6831275720164609
workclass,Federal-gov,172,0.6901408450704225,0.7777777777777778,0.7313432835820896
workclass,Without-pay,5,1.0,1.0,1.0
workclass,Never-worked,2,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,Some-college,1450,0.7008928571428571,0.5451388888888888,0.61328125
education,HS-grad,2166,0.6615384615384615,0.37283236994219654,0.47689463955637706
education,Bachelors,1019,0.7333333333333333,0.8099762470308789,0.7697516930022573
education,Assoc-acdm,209,0.75,0.5869565217391305,0.6585365853658537
education,9th,107,0.0,0.0,0.0
education,10th,182,1.0,0.4375,0.6086956521739131
education,5th-6th,74,0.6666666666666666,0.5,0.5714285714285714
education,7th-8th,135,1.0,0.0,0.0
education,Assoc-voc,276,0.6981132075471698,0.5362318840579711,0.6065573770491803
education,Prof-school,103,0.9102564102564102,0.8987341772151899,0.9044585987261147
education,Masters,351,0.7808219178082192,0.8507462686567164,0.8142857142857143
education,11th,228,0.5555555555555556,0.625,0.5882352941176471
education,12th,77,0.5,0.2,0.2857142857142857
education,Doctorate,98,0.8421052631578947,0.8888888888888888,0.8648648648648649
education,1st-4th,31,1.0,0.0,0.0
education,Preschool,7,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Divorced,908,0.7457627118644068,0.4489795918367347,0.5605095541401274
marital-status,Married-civ-spouse,2989,0.7424366312346689,0.6801498127340824,0.7099296325254105
marital-status,Never-married,2117,0.7121212121212122,0.47959183673469385,0.573170731707317
marital-status,Separated,214,0.8571428571428571,0.46153846153846156,0.6
marital-status,Married-spouse-absent,81,0.3333333333333333,0.6666666666666666,0.4444444444444444
